numero;despacho;data
112014017912;9.1;2022-02-01
112014018117;9.2;2022-02-01
112014019482;9.2;2022-02-01
112014020474;9.1;2022-02-01
112014020960;9.1;2022-02-01
112014022905;9.1;2022-02-01
112014024254;9.1;2022-02-01
112014024259;9.1;2022-02-01
112014024285;9.1;2022-02-01
112014024306;9.1;2022-02-01
112014024452;9.2;2022-02-01
112014025798;9.1;2022-02-01
112014026070;9.1;2022-02-01
112014026296;9.1;2022-02-01
112014028428;9.1;2022-02-01
112014029559;9.1;2022-02-01
112014029952;11.2;2022-02-01
112014030285;9.1;2022-02-01
112014031130;9.2;2022-02-01
112014031624;9.1;2022-02-01
112014031941;9.1;2022-02-01
112014032423;9.1;2022-02-01
112014032426;9.1;2022-02-01
112014032663;9.1;2022-02-01
112014032703;9.1;2022-02-01
112014032740;9.2;2022-02-01
112014032885;9.1;2022-02-01
112014032904;9.1;2022-02-01
112014033080;9.1;2022-02-01
112015000340;9.1;2022-02-01
112015002305;9.1;2022-02-01
112015002812;9.2;2022-02-01
112015003431;9.1;2022-02-01
112015003472;9.1;2022-02-01
112015003636;9.1;2022-02-01
112015004700;9.1;2022-02-01
112015005507;9.1;2022-02-01
112015005839;9.1;2022-02-01
112015006189;9.1;2022-02-01
112015006330;9.1;2022-02-01
112015006570;9.1;2022-02-01
112015006662;9.2;2022-02-01
112015007883;9.1;2022-02-01
112015008602;9.1;2022-02-01
112015008629;9.1;2022-02-01
112015008834;9.2;2022-02-01
112015011599;9.1;2022-02-01
112015011611;9.1;2022-02-01
112015011618;9.1;2022-02-01
112015011686;9.1;2022-02-01
112015011952;9.1;2022-02-01
112015012238;9.1;2022-02-01
112015012248;9.1;2022-02-01
112015012705;9.1;2022-02-01
112015013014;9.1;2022-02-01
112015013043;9.1;2022-02-01
112015013134;9.1;2022-02-01
112015013926;9.1;2022-02-01
112015015095;9.1;2022-02-01
112015015604;9.1;2022-02-01
112015015687;9.1;2022-02-01
112015015840;9.1;2022-02-01
112015015933;9.1;2022-02-01
112015015971;9.1;2022-02-01
112015016262;9.1;2022-02-01
112015016397;9.1;2022-02-01
112015017785;9.1;2022-02-01
112015017789;9.1;2022-02-01
112015018690;9.1;2022-02-01
112015018789;9.1;2022-02-01
112015018798;9.1;2022-02-01
112015019136;9.1;2022-02-01
112015019399;9.1;2022-02-01
112015020499;9.1;2022-02-01
112015020953;9.1;2022-02-01
112015021113;9.1;2022-02-01
112015021448;9.1;2022-02-01
112015021531;9.1;2022-02-01
112015021777;9.2;2022-02-01
112015021942;9.1;2022-02-01
112015022547;9.1;2022-02-01
112015023183;9.1;2022-02-01
112015023300;9.1;2022-02-01
112015023410;9.1;2022-02-01
112015023497;9.1;2022-02-01
112015024198;9.1;2022-02-01
112015024201;9.1;2022-02-01
112015024489;9.1;2022-02-01
112015024791;9.1;2022-02-01
112015024947;9.1;2022-02-01
112015025022;9.1;2022-02-01
112015025552;9.1;2022-02-01
112015027590;9.1;2022-02-01
112015027658;9.1;2022-02-01
112015028426;9.1;2022-02-01
112015028507;9.1;2022-02-01
112015029142;9.1;2022-02-01
112015030015;9.1;2022-02-01
112015030831;9.1;2022-02-01
112015031143;9.2;2022-02-01
112015031227;9.1;2022-02-01
112015031947;9.1;2022-02-01
112016000412;9.1;2022-02-01
112016000736;9.1;2022-02-01
112016000839;11.2;2022-02-01
112016001952;9.1;2022-02-01
112016002708;9.1;2022-02-01
112016004440;9.1;2022-02-01
112016005285;9.1;2022-02-01
112016005505;9.1;2022-02-01
112016005629;9.1;2022-02-01
112016005672;9.1;2022-02-01
112016005777;9.1;2022-02-01
112016006084;9.1;2022-02-01
112016007317;9.1;2022-02-01
112016007334;9.1;2022-02-01
112016007546;9.1;2022-02-01
112016008529;9.1;2022-02-01
112016008533;9.1;2022-02-01
112016008760;9.1;2022-02-01
112016008925;9.1;2022-02-01
112016008927;9.1;2022-02-01
112016008974;9.1;2022-02-01
112016009479;9.1;2022-02-01
112016009826;9.1;2022-02-01
112016010365;9.2;2022-02-01
112016010711;9.1;2022-02-01
112016011133;9.1;2022-02-01
112016011226;9.1;2022-02-01
112016011275;9.1;2022-02-01
112016011479;9.1;2022-02-01
112016011661;9.1;2022-02-01
112016011696;9.1;2022-02-01
112016011701;9.1;2022-02-01
112016011742;9.2;2022-02-01
112016012268;9.1;2022-02-01
112016012282;9.1;2022-02-01
112016012324;9.1;2022-02-01
112016012438;9.1;2022-02-01
112016012443;9.1;2022-02-01
112016012488;9.1;2022-02-01
112016012534;9.1;2022-02-01
112016013421;9.1;2022-02-01
112016013566;9.1;2022-02-01
112016014218;9.1;2022-02-01
112016014252;9.1;2022-02-01
112016014482;9.1;2022-02-01
112016014817;9.1;2022-02-01
112016015676;9.1;2022-02-01
112016016199;9.1;2022-02-01
112016016291;9.1;2022-02-01
112016016761;9.1;2022-02-01
112016016974;9.1;2022-02-01
112016017082;9.1;2022-02-01
112016017106;9.1;2022-02-01
112016017458;9.1;2022-02-01
112016017513;9.1;2022-02-01
112016017657;9.1;2022-02-01
112016017660;9.1;2022-02-01
112016017913;9.1;2022-02-01
112016018125;9.1;2022-02-01
112016018137;9.1;2022-02-01
112016019552;9.1;2022-02-01
112016019705;9.1;2022-02-01
112016020196;9.1;2022-02-01
112016022374;9.1;2022-02-01
112016022577;9.1;2022-02-01
112016022909;9.1;2022-02-01
112016022966;9.1;2022-02-01
112016023263;9.1;2022-02-01
112016024036;11.2;2022-02-01
112016024225;9.1;2022-02-01
112016024273;9.1;2022-02-01
112016024398;9.1;2022-02-01
112016024612;9.1;2022-02-01
112016024764;9.1;2022-02-01
112016024785;9.1;2022-02-01
112016024837;9.1;2022-02-01
112016024897;9.1;2022-02-01
112016025523;9.1;2022-02-01
112016025669;9.1;2022-02-01
112016025754;9.1;2022-02-01
112016027296;9.1;2022-02-01
112016027341;9.1;2022-02-01
112016027659;9.1;2022-02-01
112016027672;9.1;2022-02-01
112016027695;9.1;2022-02-01
112016027987;9.1;2022-02-01
112016028132;9.1;2022-02-01
112016028422;9.1;2022-02-01
112016028533;9.2;2022-02-01
112016028836;9.1;2022-02-01
112016029224;9.1;2022-02-01
112016029719;9.2;2022-02-01
112016029769;9.1;2022-02-01
112016029940;9.1;2022-02-01
112016030953;9.1;2022-02-01
112017000033;9.1;2022-02-01
112017000171;9.1;2022-02-01
112017000232;9.1;2022-02-01
112017000317;9.1;2022-02-01
112017000345;9.1;2022-02-01
112017000900;9.1;2022-02-01
112017001289;9.1;2022-02-01
112017001396;9.1;2022-02-01
112017002140;9.1;2022-02-01
112017002141;9.1;2022-02-01
112017002928;9.1;2022-02-01
112017003057;9.1;2022-02-01
112017003221;9.1;2022-02-01
112017003279;11.2;2022-02-01
112017004206;9.1;2022-02-01
112017004244;9.1;2022-02-01
112017004686;9.1;2022-02-01
112017004841;9.1;2022-02-01
112017005316;9.1;2022-02-01
112017005335;9.1;2022-02-01
112017005398;9.1;2022-02-01
112017005427;9.1;2022-02-01
112017005643;9.1;2022-02-01
112017005734;9.1;2022-02-01
112017005754;9.1;2022-02-01
112017006645;9.1;2022-02-01
112017006840;9.1;2022-02-01
112017006916;9.2;2022-02-01
112017007732;9.1;2022-02-01
112017008669;9.1;2022-02-01
112017008913;9.1;2022-02-01
112017008916;9.1;2022-02-01
112017009620;9.1;2022-02-01
112017010044;9.1;2022-02-01
112017010711;9.1;2022-02-01
112017011041;9.1;2022-02-01
112017011713;9.1;2022-02-01
112017012207;9.1;2022-02-01
112017012245;11.2;2022-02-01
112017012490;9.1;2022-02-01
112017012508;9.1;2022-02-01
112017013345;9.1;2022-02-01
